Address 1,City,Country,County,Location,Name,Number of Officers,Phone #,Population Served,State,Type,Website,Zip Code,Fax #,Address 2
580 Pine Ave,Pacific Grove,United States,Monterey County,"Pacific Grove, CA",Pacific Grove Police Department,28,831-648-3147,15500,California,Police Departments,,93950-3335,831-648-3163,
1 Floral Blvd,Floral Park,United States,Nassau County,"Floral Park, NY",Floral Park Village Police Department,37,516-326-6400,16953,New York,Police Departments,,11001-2722,516-326-6406,
416 S Main St,Greensburg,United States,Westmoreland County,"Greensburg, PA",Greensburg Police Department,27,724-838-4311,16892,Pennsylvania,Police Departments,,15601-3015,724-838-4304,
5301 Mayfield Rd,Lyndhurst,United States,Cuyahoga County,"Lyndhurst, OH",Lyndhurst Police Department,28,440-442-1234,16829,Ohio,Police Departments,,44124-2484,440-442-3820,
302 E Colonial Ave,Elizabeth City,United States,Pasquotank County,"Elizabeth City, NC",Elizabeth City Police Department,51,252-335-4321,19500,North Carolina,Police Departments,,27907-4306,252-337-6686,
20 N Main St,Brigham City,United States,Box Elder County,"Brigham City, UT",Brigham City Police Department,25,435-734-6650,16826,Utah,Police Departments,,84302-2171,435-723-5011,
120 E 7th St,Newton,United States,Harvey County,"Newton, KS",Newton Police Department,32,316-284-6030,18000,Kansas,Police Departments,,67114-1801,316-283-2223,
1217 Williams St,Great Bend,United States,Barton County,"Great Bend, KS",Great Bend Police Department,32,620-793-4120,15000,Kansas,Police Departments,,67530-4492,620-793-4125,
800 N Hermitage Rd,Hermitage,United States,Mercer County,"Hermitage, PA",Hermitage Police Department,28,724-983-6780,16803,Pennsylvania,Police Departments,,16148-3220,724-983-6786,
615 N Main St,Belvidere,United States,Boone County,"Belvidere, IL",Belvidere Police Department,35,815-544-9626,21800,Illinois,Police Departments,,61008-2697,815-544-9603,
324 Perry St,Defiance,United States,Defiance County,"Defiance, OH",Defiance Police Department,30,419-784-5050,16800,Ohio,Police Departments,,43512-2100,419-782-5983,
401 N Centre St,Pottsville,United States,Schuylkill County,"Pottsville, PA",Pottsville Police Department,29,570-622-1234,16603,Pennsylvania,Police Departments,,17901-1705,570-622-3524,
3 Frontage Rd,Gloversville,United States,Fulton County,"Gloversville, NY",Gloversville City Police Department,34,518-773-4514,16602,New York,Police Departments,,12078-2897,518-773-4540,
100 E 5th St,Connersville,United States,Fayette County,"Connersville, IN",Connersville Police Department,36,765-825-2111,16539,Indiana,Police Departments,,47331-2021,765-827-0858,
7792 Walker St,La Palma,United States,Orange County,"La Palma, CA",La Palma Police Department,26,714-690-3379,16550,California,Police Departments,,90623-1770,714-523-7351,
116 S 2nd St,Chambersburg,United States,Franklin County,"Chambersburg, PA",Chambersburg Police Department,39,717-264-4131,18300,Pennsylvania,Police Departments,,17201-2515,717-261-3263,
20 Police Plz,Geneva,United States,Kane County,"Geneva, IL",Geneva Police Department,35,630-232-4736,19515,Illinois,Police Departments,,60134-2290,630-232-7711,
3947 Lincoln Ave,Groves,United States,Jefferson County,"Groves, TX",Groves Police Department,18,409-962-0244,15733,Texas,Police Departments,,77619-4604,409-960-5749,
350 Rheem Blvd,Moraga,United States,Contra Costa County,"Moraga, CA",Moraga Police Department,12,925-376-2515,16500,California,Police Departments,,94556-1591,925-376-2850,
400 N Northwest Hwy,Barrington,United States,Lake County,"Barrington, IL",Barrington/Inverness Police Department,34,847-304-3300,16500,Illinois,Police Departments,,60010-3389,847-381-2730,
307 3rd Ave,Brookings,United States,Brookings County,"Brookings, SD",Brookings Police Department,27,605-692-2113,18300,South Dakota,Police Departments,,57006-1908,605-697-8351,
2675 Brownsville Rd,South Park,United States,Allegheny County,"South Park, PA",South Park Township Police Department,17,412-833-1000,16500,Pennsylvania,Police Departments,,15129-8525,412-833-8533,
851 Woodmere Ave,Traverse City,United States,Grand Traverse County,"Traverse City, MI",Traverse City Police Department,32,231-995-5150,16468,Michigan,Police Departments,,49686-3349,231-995-5160,
2155 Holmgren Way,Ashwaubenon,United States,Brown County,"Ashwaubenon, WI",Ashwaubenon Public Safety Department,44,920-492-2995,19000,Wisconsin,Police Departments,,54304-4605,920-492-2986,
3181 Wilson Ave SW,Grandville,United States,Kent County,"Grandville, MI",Grandville Police Department,28,616-538-6110,16250,Michigan,Police Departments,,49418-1274,616-538-7553,
2301 N 7th St,West Monroe,United States,Ouachita Parish,"West Monroe, LA",West Monroe Police Department,70,318-396-2722,16000,Louisiana,Police Departments,,71291-5295,318-396-4903,
512 Oak St,Waycross,United States,Ware County,"Waycross, GA",Waycross Police Department,50,912-287-2927,16000,Georgia,Police Departments,,31502-4609,912-287-2926,
5211 Maryland Way,Brentwood,United States,Williamson County,"Brentwood, TN",Brentwood Police Department (TN),48,615-371-0160,24000,Tennessee,Police Departments,https://www.brentwoodtn.gov/,37027-5011,615-371-2228,
1400 Boston Ave,Nederland,United States,Jefferson County,"Nederland, TX",Nederland Police Department,21,409-723-1516,16343,Texas,Police Departments,,77627-4029,409-723-1551,
202 S Water St,Owosso,United States,Shiawassee County,"Owosso, MI",City of Owosso Police Department,22,989-725-0580,16322,Michigan,Police Departments,,48867-2920,989-725-0528,
200 W First St,Claremore,United States,Rogers County,"Claremore, OK",Claremore Police Department,31,918-341-1212,16302,Oklahoma,Police Departments,,74017-8004,918-341-1643,
10 W Main St,Batavia,United States,Genesee County,"Batavia, NY",Batavia City Police Department,30,585-345-6350,16300,New York,Police Departments,,14020-2040,585-344-1878,
121 Symonds Dr,Hinsdale,United States,Du Page County,"Hinsdale, IL",Hinsdale Police Department,30,630-789-7070,18000,Illinois,Police Departments,,60521-3797,630-789-1631,
3721 26th Ave,Northport,United States,Tuscaloosa County,"Northport, AL",Northport Police Department,47,205-339-6600,30000,Alabama,Police Departments,,35476-2952,205-333-3014,
111 1st St NE,Moultrie,United States,Colquitt County,"Moultrie, GA",Moultrie Police Department,43,229-985-3131,16199,Georgia,Police Departments,,31768-3940,229-890-1916,
55 W Church St,Martinsville,United States,Martinsville City County,"Martinsville, VA",Martinsville Police Department,54,276-403-5300,16162,Virginia,Police Departments,,24112-6209,276-403-5306,
2475 State Ave N,Dickinson,United States,Stark County,"Dickinson, ND",Dickinson Police Department,24,701-456-7759,16049,North Dakota,Police Departments,,58601,701-456-7680,
1900 W Grand Chute Blvd,Appleton,United States,Outagamie County,"Appleton, WI",Grand Chute Police Department,30,920-832-1575,19480,Wisconsin,Police Departments,,54913-9613,920-832-1749,
5520 Lacy Rd,Fitchburg,United States,Dane County,"Fitchburg, WI",Fitchburg Police Department,30,608-270-4300,16000,Wisconsin,Police Departments,,53711-5318,608-270-4390,
657 Fox St,Lemoore,United States,Kings County,"Lemoore, CA",Lemoore Police Department,29,559-924-9574,20850,California,Police Departments,,93245-2602,559-924-3116,
9291 Old Redwood Hwy,Windsor,United States,Sonoma County,"Windsor, CA",Windsor Police Department,15,707-838-1234,24000,California,Police Departments,,95492-8089,707-838-1233,
611 N Weatherly,Borger,United States,Hutchinson County,"Borger, TX",Borger Police Department,23,806-273-0930,16000,Texas,Police Departments,,79007-3621,806-273-0940,
560 39th St,South Ogden,United States,Weber County,"South Ogden, UT",South Ogden Police Department,26,801-621-1861,15000,Utah,Police Departments,,84403-1818,801-399-2125,
330 Rufe Snow Dr,Keller,United States,Tarrant County,"Keller, TX",Keller Police Department,50,817-431-1510,32000,Texas,Police Departments,http://www.cityofkeller.com/services/police,76248-2102,817-431-9388,
1601 Heritage Pkwy,Mansfield,United States,Tarrant County,"Mansfield, TX",Mansfield Police Department,42,817-473-9381,30000,Texas,Police Departments,,76063-8308,817-473-0215,
101 N Gum St,Searcy,United States,White County,"Searcy, AR",Searcy Police Department,45,501-279-1021,19000,Arkansas,Police Departments,,72143-5304,501-279-1014,
220 N Chestnut St,Seymour,United States,Jackson County,"Seymour, IN",Seymour Police Department,35,812-522-5131,19000,Indiana,Police Departments,,47274-2104,812-522-1254,
7500 S Oketo,Bridgeview,United States,Cook County,"Bridgeview, IL",Bridgeview Police Department,46,708-458-2131,16000,Illinois,Police Departments,,60455-2508,708-924-8058,
202 E Jefferson St,Bastrop,United States,Morehouse Parish,"Bastrop, LA",Bastrop Police Department,43,318-281-1322,16000,Louisiana,Police Departments,,71220-4595,318-283-3378,
9543 Broadview Rd Bldg G19,Broadview Heights,United States,Cuyahoga County,"Broadview Heights, OH",Broadview Heights Police Department,30,440-526-5400,16000,Ohio,Police Departments,,44147-2301,440-526-2165,
1800 Park Rd,Shively,United States,Jefferson County,"Shively, KY",Shively Police Department,30,502-448-6181,18000,Kentucky,Police Departments,,40216-4286,502-449-5042,
6555 Worthington-Galena Rd,Worthington,United States,Franklin County,"Worthington, OH",Worthington Division of Police,35,614-885-4463,15000,Ohio,Police Departments,,43085-2637,614-885-6833,
275 N Union Ave,Ozark,United States,Dale County,"Ozark, AL",Ozark Police Department,45,334-774-2644,16000,Alabama,Police Departments,,36361-1445,334-774-5641,
301 S Sharpe Ave,Cleveland,United States,Bolivar County,"Cleveland, MS",Cleveland Police Department,42,662-843-3611,16000,Mississippi,Police Departments,,38732-3353,662-843-2485,
175 N Bluford Ave,Ocoee,United States,Orange County,"Ocoee, FL",Ocoee Police Department,66,407-905-3160,26900,Florida,Police Departments,,34761-2216,407-656-0218,
830 Martin Luther King Jr Blvd,Stuart,United States,Martin County,"Stuart, FL",Stuart Police Department,43,772-287-1122,16000,Florida,Police Departments,,34994-2408,772-220-5986,
135 E Park Ave,Edgewater,United States,Volusia County,"Edgewater, FL",Edgewater Police Department,36,386-424-2425,18800,Florida,Police Departments,,32132-1723,386-424-2431,
304 College St,Morganton,United States,Burke County,"Morganton, NC",Morganton Department of Public Safety,78,828-438-5290,17150,North Carolina,Police Departments,,28655-3845,828-432-2514,
5 W Adams,Forsyth,United States,Monroe County,"Forsyth, GA",Forsyth Police Department,15,478-994-6022,5000,Georgia,Police Departments,,31029-2115,478-994-0378,
900 7th Ave,Garner,United States,Wake County,"Garner, NC",Garner Police Department,40,919-772-8810,16300,North Carolina,Police Departments,,27529-3640,919-772-8524,
311 S Lafayette St,Shelby,United States,Cleveland County,"Shelby, NC",Shelby Police Department,72,704-484-6855,20000,North Carolina,Police Departments,,28150-5351,704-484-6815,
308B E Stadium Dr,Eden,United States,Rockingham County,"Eden, NC",Eden Police Department,48,336-623-9687,16000,North Carolina,Police Departments,,27288-3523,336-623-4087,
10 E Main St,Christiansburg,United States,Montgomery County,"Christiansburg, VA",Christiansburg Police Department,42,540-382-3131,16000,Virginia,Police Departments,,24073-3028,540-382-0877,
1993 Hummel Ave,Camp Hill,United States,Cumberland County,"Camp Hill, PA",Lower Allen Township Police Department,19,717-975-7575,17289,Pennsylvania,Police Departments,,17011-5938,717-975-2289,
3101 McCully Rd,Allison Park,United States,Allegheny County,"Allison Park, PA",Hampton Township Police Department,18,412-486-0400,17000,Pennsylvania,Police Departments,,15101-1331,412-486-5622,
700 Belvoir Rd,Plymouth Meeting,United States,Montgomery County,"Plymouth Meeting, PA",Plymouth Township Police Department,46,610-279-1900,17000,Pennsylvania,Police Departments,,19462-2578,610-279-9974,
1520 Ellis Ave,Orangeburg,United States,Orangeburg County,"Orangeburg, SC",Orangeburg Public Safety Department,85,803-531-4654,15895,South Carolina,Police Departments,,29115-2514,803-533-5926,
348 Main St,El Segundo,United States,Los Angeles County,"El Segundo, CA",El Segundo Police Department,69,310-524-2280,16864,California,Police Departments,,90245-3885,,
520 Mass Ave,Boxborough,United States,Middlesex County,"Boxborough, MA",Boxborough Police Department,8,978-263-2628,5000,Massachusetts,Police Departments,,01719-1510,978-635-0116,
115 N Morton,Okmulgee,United States,Okmulgee County,"Okmulgee, OK",Okmulgee Police Department,30,918-758-1141,14000,Oklahoma,Police Departments,,74447-7318,918-758-1164,
4301 Warrensville Center Rd,Warrensville Hts,United States,Cuyahoga County,"Warrensville Hts, OH",Warrensville Heights  Police Department,39,216-581-1234,15745,Ohio,Police Departments,,44128-2899,216-518-2772,
5021 Pennell Rd,Aston,United States,Delaware County,"Aston, PA",Aston Police Department,23,610-497-2633,17000,Pennsylvania,Police Departments,,19014-1869,610-497-3814,
205 1st Ave NW,Mandan,United States,Morton County,"Mandan, ND",Mandan Police Department,22,701-667-3250,15682,North Dakota,Police Departments,,58554-3162,701-667-3463,
205 6th St SE,Jamestown,United States,Stutsman County,"Jamestown, ND",Jamestown Police Department,29,701-252-2414,15655,North Dakota,Police Departments,,58401-4295,701-251-6297,
98 S Enola Dr,Enola,United States,Cumberland County,"Enola, PA",East Pennsboro Township Police Department,19,717-732-3633,19000,Pennsylvania,Police Departments,,17025-2796,717-732-3980,
1040 Roanoke Ave,Roanoke Rapids,United States,Halifax County,"Roanoke Rapids, NC",Roanoke Rapids Police Department,35,252-533-2810,16000,North Carolina,Police Departments,,27870-3702,,
1035 West Ave NW,Lenoir,United States,Caldwell County,"Lenoir, NC",Lenoir Police Department,50,828-757-2100,15710,North Carolina,Police Departments,,28645-5126,828-757-2124,
11000 N La Canada Dr,Oro Valley,United States,Pima County,"Oro Valley, AZ",Oro Valley Police Department,76,520-229-4900,38000,Arizona,Police Departments,,85737-7016,520-229-4979,
116 N Evans,El Reno,United States,Canadian County,"El Reno, OK",El Reno Police Department,36,405-262-2130,16400,Oklahoma,Police Departments,,73036-2698,405-262-2128,
58 E 100 N,Kaysville,United States,Davis County,"Kaysville, UT",Kaysville Police Department (UT),18,801-546-1131,20000,Utah,Police Departments,,84037-1979,801-544-1147,
N112 W16877 Mequon Rd,Germantown,United States,Washington County,"Germantown, WI",Germantown Police Department,24,262-253-7780,15500,Wisconsin,Police Departments,,53022-3207,262-253-7787,
2495 Ali Baba Ave,Opa-Locka,United States,Miami-Dade County,"Opa-Locka, FL",Opa-Locka Police Department,31,305-953-2879,16000,Florida,Police Departments,,33054-3193,305-953-2820,
500 Wyoming Ave,Kingston,United States,Luzerne County,"Kingston, PA",Kingston Police Department,21,570-288-3674,14500,Pennsylvania,Police Departments,,18704-3604,570-287-2699,
2304 Warrensville Center Rd,University Hts,United States,Cuyahoga County,"University Hts, OH",University Heights Police Department,34,216-932-1800,15432,Ohio,Police Departments,,44118-3825,216-932-2131,
304 W Burlington Ave,La Grange,United States,Cook County,"La Grange, IL",La Grange Police Department,28,708-579-2334,15362,Illinois,Police Departments,,60525-2381,708-579-1085,
120 Maple St,Wadsworth,United States,Medina County,"Wadsworth, OH",Wadsworth Police Department,26,330-334-1511,15347,Ohio,Police Departments,,44281-1825,330-335-2770,
